latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-5.852,145.627,323.1,1,1,2019-09-27,0045,T,67,6.0NRT,299.7,12,D
-18.464,-39.955,300.7,1.2,1.1,2019-09-27,0130,T,32,6.0NRT,280.3,6.8,N
-16.608,-41.96,304.2,1,1,2019-09-27,0130,T,59,6.0NRT,290.7,5.9,N
-15.348,-43.035,326.8,1,1,2019-09-27,0130,T,100,6.0NRT,296.8,22.6,N
-15.35,-43.045,317.4,1,1,2019-09-27,0130,T,95,6.0NRT,296.7,12.9,N
-15.281,-46.111,309,1.2,1.1,2019-09-27,0130,T,64,6.0NRT,286.5,12.1,N
-15.278,-46.107,309.6,1.2,1.1,2019-09-27,0130,T,78,6.0NRT,283.4,15.7,N
-14.469,-43.252,336.8,1,1,2019-09-27,0130,T,100,6.0NRT,295.7,37.6,N
-14.47,-43.262,312.6,1,1,2019-09-27,0130,T,85,6.0NRT,294.3,10.6,N
-14.26,-42.261,309.6,1,1,2019-09-27,0130,T,77,6.0NRT,294.6,8.7,N
-14.876,-46.681,304.3,1.3,1.1,2019-09-27,0130,T,33,6.0NRT,292.1,6.7,N
-14.877,-46.693,312.2,1.3,1.1,2019-09-27,0130,T,21,6.0NRT,291.7,16.2,N
-13.919,-42.884,347.7,1,1,2019-09-27,0130,T,100,6.0NRT,298.6,56.6,N
-13.92,-42.893,321.4,1,1,2019-09-27,0130,T,100,6.0NRT,297.2,17.1,N
-14.314,-46.428,305.5,1.2,1.1,2019-09-27,0130,T,24,6.0NRT,292.8,6.2,N
-14.315,-46.439,319.6,1.2,1.1,2019-09-27,0130,T,99,6.0NRT,293.6,20.6,N
-14.313,-46.434,320.8,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,293.8,22.4,N
-14.315,-46.445,307.2,1.2,1.1,2019-09-27,0130,T,52,6.0NRT,292.8,7.8,N
-14.303,-46.435,304.2,1.2,1.1,2019-09-27,0130,T,25,6.0NRT,292.4,5.5,N
-13.687,-43.186,307.9,1,1,2019-09-27,0130,T,73,6.0NRT,295.9,5.8,N
-13.65,-43.055,313.7,1,1,2019-09-27,0130,T,88,6.0NRT,297,9.8,N
-13.547,-44.201,310.5,1,1,2019-09-27,0130,T,80,6.0NRT,294.2,8.8,N
-12.967,-40.674,315.1,1.3,1.1,2019-09-27,0130,T,91,6.0NRT,293.5,18,N
-13.066,-41.438,300.1,1.2,1.1,2019-09-27,0130,T,14,6.0NRT,289.2,5.1,N
-13.742,-46.654,307.6,1.2,1.1,2019-09-27,0130,T,72,6.0NRT,294.7,7.3,N
-13.732,-46.655,309.5,1.2,1.1,2019-09-27,0130,T,78,6.0NRT,294.6,9,N
-13.734,-46.667,310.2,1.2,1.1,2019-09-27,0130,T,79,6.0NRT,294.6,9.6,N
